Industry,Contribution_to_GDP,Wage_bracket_0_to_9999
"Agriculture, Forestry And Fishing",23.8,12141
Mining And Quarrying,0.7,59
Manufacturing,9.6,632
"Electricity, Gas, Steam And Air Conditioning Supply",0.4,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1680
Construction,4.1,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,10.5,56
Transportation And Storage,7.8,821
Accommodation And Food Service Activities,1.7,318
Information And Communication,2.2,48
Financial And Insurance Activities,6.3,1680
Real Estate Activities,4.4,156
"Professional, Scientific And Technical Activities",2.1,2613
Administrative And Support Service Activities,2.3,23
Public Administration And Defence; Compulsory Social Security,5.0,1142
Education,5.8,214
Human Health And Social Work Activities,2.4,1680
"Arts, Entertainment And Recreation",3.2,1680
Other Service Activities,0.4,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,4.403012048192771,1680
Activities Of Extraterritorial Organizations And Bodies,4.403012048192771,1680
"Agriculture, Forestry And Fishing",26.2,12008
Mining And Quarrying,1.1,61
Manufacturing,11.0,618
"Electricity, Gas, Steam And Air Conditioning Supply",1.1,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.9,1680
Construction,4.5,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.8,65
Transportation And Storage,8.0,807
Accommodation And Food Service Activities,1.3,310
Information And Communication,1.6,53
Financial And Insurance Activities,5.9,1680
Real Estate Activities,8.0,161
"Professional, Scientific And Technical Activities",1.0,2738
Administrative And Support Service Activities,1.3,44
Public Administration And Defence; Compulsory Social Security,4.4,1381
Education,5.4,214
Human Health And Social Work Activities,1.7,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.6,1680
Activities Of Extraterritorial Organizations And Bodies,-2.6,1680
"Agriculture, Forestry And Fishing",26.4,12328
Mining And Quarrying,0.9,64
Manufacturing,10.7,640
"Electricity, Gas, Steam And Air Conditioning Supply",1.1,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.9,1680
Construction,4.5,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,8.0,70
Transportation And Storage,8.0,820
Accommodation And Food Service Activities,1.2,331
Information And Communication,1.4,57
Financial And Insurance Activities,6.6,1680
Real Estate Activities,7.9,166
"Professional, Scientific And Technical Activities",1.0,2856
Administrative And Support Service Activities,1.2,48
Public Administration And Defence; Compulsory Social Security,4.4,1450
Education,5.3,223
Human Health And Social Work Activities,1.6,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1680
Activities Of Extraterritorial Organizations And Bodies,-2.6,1680
"Agriculture, Forestry And Fishing",27.5,13312
Mining And Quarrying,0.8,82
Manufacturing,10.0,773
"Electricity, Gas, Steam And Air Conditioning Supply",1.0,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.8,1680
Construction,4.9,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,8.0,94
Transportation And Storage,8.6,854
Accommodation And Food Service Activities,0.9,476
Information And Communication,1.2,96
Financial And Insurance Activities,6.8,1680
Real Estate Activities,7.7,226
"Professional, Scientific And Technical Activities",1.0,2643
Administrative And Support Service Activities,1.1,50
Public Administration And Defence; Compulsory Social Security,4.5,1555
Education,5.2,980
Human Health And Social Work Activities,1.7,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1680
Activities Of Extraterritorial Organizations And Bodies,-2.5,1680
"Agriculture, Forestry And Fishing",30.2,10991
Mining And Quarrying,0.9,260
Manufacturing,9.4,1076
"Electricity, Gas, Steam And Air Conditioning Supply",1.4,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1680
Construction,4.9,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.5,504
Transportation And Storage,8.1,1003
Accommodation And Food Service Activities,0.8,231
Information And Communication,1.5,895
Financial And Insurance Activities,6.7,1680
Real Estate Activities,7.5,237
"Professional, Scientific And Technical Activities",0.9,2813
Administrative And Support Service Activities,1.0,108
Public Administration And Defence; Compulsory Social Security,4.3,2653
Education,4.9,2116
Human Health And Social Work Activities,1.7,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1680
Activities Of Extraterritorial Organizations And Bodies,-2.6,1680
"Agriculture, Forestry And Fishing",31.1,10991
Mining And Quarrying,0.8,260
Manufacturing,9.3,1076
"Electricity, Gas, Steam And Air Conditioning Supply",1.9,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1680
Construction,5.1,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.2,504
Transportation And Storage,8.1,1003
Accommodation And Food Service Activities,0.7,231
Information And Communication,1.5,895
Financial And Insurance Activities,7.1,1680
Real Estate Activities,7.6,237
"Professional, Scientific And Technical Activities",0.9,2813
Administrative And Support Service Activities,1.0,108
Public Administration And Defence; Compulsory Social Security,3.9,2653
Education,4.4,2116
Human Health And Social Work Activities,1.7,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.5,1680
Activities Of Extraterritorial Organizations And Bodies,-2.8,1680
"Agriculture, Forestry And Fishing",34.8,7225
Mining And Quarrying,0.8,258
Manufacturing,8.0,1085
"Electricity, Gas, Steam And Air Conditioning Supply",1.8,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1680
Construction,5.6,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.4,431
Transportation And Storage,7.5,710
Accommodation And Food Service Activities,0.7,238
Information And Communication,1.3,748
Financial And Insurance Activities,7.1,1680
Real Estate Activities,0.8,244
"Professional, Scientific And Technical Activities",0.9,1739
Administrative And Support Service Activities,3.6,114
Public Administration And Defence; Compulsory Social Security,4.0,1510
Education,1.5,1231
Human Health And Social Work Activities,0.1,1680
"Arts, Entertainment And Recreation",0.6,1680
Other Service Activities,0.4,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,-2.0,1680
Activities Of Extraterritorial Organizations And Bodies,8.3,1680
"Agriculture, Forestry And Fishing",34.2,11174
Mining And Quarrying,0.8,263
Manufacturing,7.7,1100
"Electricity, Gas, Steam And Air Conditioning Supply",1.8,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1680
Construction,5.4,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.4,547
Transportation And Storage,8.0,1062
Accommodation And Food Service Activities,0.7,244
Information And Communication,1.3,998
Financial And Insurance Activities,6.0,1680
Real Estate Activities,7.0,251
"Professional, Scientific And Technical Activities",0.8,3050
Administrative And Support Service Activities,0.9,120
Public Administration And Defence; Compulsory Social Security,3.5,2053
Education,4.3,2327
Human Health And Social Work Activities,1.5,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.4,1680
Activities Of Extraterritorial Organizations And Bodies,-1.9,1680
